NAME,TYPE,COST,STRENGTH,WEAKNESS,OPPORTUNITIES,THREATS,P_LOW,P_HIGH,YEARLY_LOW,YEARLY_HIGH
Wheels India Ltd.,Auto Ancillaries - Wheels,691.00,MACD Crossover Above Signal Line,"Negative profit growth, promoters decreasing shareholding QoQ","Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE ",No Threat for this stock,686.85,699.00,432.30,855.00
Weston Components Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Weston Electroniks Ltd.,,85.05,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,85.05,85.05,1.65,4.40
Whirlpool of India. Ltd.,Domestic Appliances,"1,355.00",Company with No Debt,Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,1355.05,1372.05,1217.25,1733.00
Westlife Foodworld Ltd.,"Hotel, Resort & Restaurants",859.70,Strong Annual EPS Growth,Decline in Net Profit with falling Profit Margin (QoQ),Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,841.95,870.00,639.30,1024.95
Yaan Enterprises Ltd.,Travel Services,29.86,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,29.86,29.86,16.15,30.01
Shri Ganesh Spinners Ltd.,Textiles - Spinning - Cotton Blended,0.31,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.31,0.31,0.05,0.34
Yuvraaj Hygiene Products Ltd.,Domestic Appliances,1.48,Growth in Quarterly Net Profit with increasing Profit Margin (YoY),Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Stock with Low PE (PE < = 10) ,No Threat for this stock,1.48,1.48,0.68,1.65
Yokogawa India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
YOGI Ltd.,Finance - NBFC,37.03,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Highest Recovery from 52 Week Low ,No Threat for this stock,36.55,39.75,14.70,41.90
YS Porcelain Tubes India Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Yug Decor Ltd.,Speciality Chemicals,84.00,"Strong Momentum: Price above short, medium and long term moving averages",No weakness for this stock,Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,83.61,84.00,,
Yes Bank Ltd.,Bank - Private,25.24,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,25.15,25.45,14.40,26.25
Yule Financing and Leasing Company Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Yudiz Solutions Ltd.,Software,,Effectively using its capital to generate profit - RoCE improving in last 2 years,No weakness for this stock,RSI indicating price strength ,No Threat for this stock,162.00,167.00,128.00,213.80
Yuranus Infrastructure Ltd.,Construction - Real Estate,86.25,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Positive Breakout Third Resistance ( LTP > R3) ,No Threat for this stock,86.25,86.25,5.77,86.25
Yuvraj International Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Yenepoya Minerals and Granites Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Yuken India Ltd.,Engineering - Industrial Equipments,729.50,Growth in Net Profit with increasing Profit Margin (QoQ),Negative Breakdown First Support (LTP < S1),RSI indicating price strength ,No Threat for this stock,714.10,731.20,450.55,800.30
Yasons Chemex Care Ltd.,Dyes & Pigments,,Company with Low Debt,Low Piotroski Score : Companies with weak financials,No Opportunity for this stock,No Threat for this stock,31.00,31.00,26.10,39.95
Yogi Pharmacy Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Yogindera Worsted Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Yashraj Containeurs Ltd.,Engineering - Industrial Equipments,11.78,Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years,Red Flag: High Interest Payments Compared to Earnings,Stock with Low PE (PE < = 10) ,No Threat for this stock,11.38,11.96,8.70,19.05
York Exports Ltd.,Textiles,42.00,MACD Crossover Above Signal Line,Degrowth in Revenue and Profit,No Opportunity for this stock,No Threat for this stock,41.00,44.00,31.35,52.80
Yogi Polyesters Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Yatra Online Ltd.,Travel Services,174.05,Strong Annual EPS Growth,Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years,RSI indicating price strength ,No Threat for this stock,172.20,175.90,124.55,186.05
Yogi-Sung-Won (India) Ltd.,Finance - Others,4.30,Company with Zero Promoter Pledge,Declining profits every quarter for the past 2 quarters,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,4.30,4.30,2.55,4.99
Yatharth Hospital and Trauma Care Services Ltd.,Hospital & Healthcare Services,378.60,Effectively using its capital to generate profit - RoCE improving in last 2 years,Promoters increased pledged shares QoQ,No Opportunity for this stock,No Threat for this stock,377.10,379.80,300.00,441.85
YASH INNOVENTURES Ltd.,Engineering - Industrial Equipments,0.00,Growth in Net Profit with increasing Profit Margin (QoQ),Negative Breakdown Third Support (LTP < S3),No Opportunity for this stock,No Threat for this stock,32.52,32.52,24.55,70.00
Yash Chemex Ltd.,Speciality Chemicals,78.00,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit (QoQ),Results Screener: Stocks with upcoming results which are seeing positive shifts in share price ,No Threat for this stock,75.05,78.50,59.10,100.80
Yarn Syndicate Ltd.,Trading,30.25,Company with Zero Promoter Pledge,MFs decreased their shareholding last quarter,Turnaround companies- loss to profit QoQ ,No Threat for this stock,29.00,30.70,20.78,48.00
Yasho Industries Ltd.,Speciality Chemicals,"1,631.80",Annual Net Profits improving for last 2 years,Degrowth in Revenue and Profit,Insiders bought stocks ,No Threat for this stock,1622.00,1648.15,10.00,1864.80
Yash Trading and Finance Ltd.,Finance - Investments,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,61.47,75.46
Yama Polymers Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Yamini Investments Ltd.,Finance - Investment,1.15,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown Third Support (LTP < S3),Highest Recovery from 52 Week Low ,No Threat for this stock,1.15,1.15,0.54,1.54
Western Orissa Sugar Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Yash Management and Financial Services Ltd.,Finance - Investment,13.60,MACD Crossover Above Signal Line,Red Flag: High Interest Payments Compared to Earnings,Stock with Low PE (PE < = 10) ,No Threat for this stock,13.30,13.99,10.83,22.15
Western India Shipyard Ltd.,,0.88,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.85,0.88,0.85,0.88
Yangir Synthetics Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Western Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Yaari Digital Integrated Services Ltd.,Trading,12.29,MACD Crossover Above Signal Line,Negative Breakdown First Support (LTP < S1),Stock with Low PE (PE < = 10) ,No Threat for this stock,12.15,12.75,9.35,19.10
Western India Cottons Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
West Coast Paper Mills Ltd.,Paper & Forest Products,740.55,"Strong Momentum: Price above short, medium and long term moving averages",MFs decreased their shareholding last quarter,Stock with Low PE (PE < = 10) ,No Threat for this stock,732.50,748.10,465.30,780.00
Wendt (India) Ltd.,Abrasives,"14,007.05",Effectively using its capital to generate profit - RoCE improving in last 2 years,Decline in Net Profit with falling Profit Margin (QoQ),Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,13888.05,14324.10,7811.60,15990.00
Western Ministil Ltd.,Steel - Medium & Small,0.00,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.00,0.00,1.10,1.45
Western Fruits and Vegetables Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Western Foods Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Zee Entertainment NCPS Ltd.,,2.10,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,2.09,2.11,1.88,4.02
West Leisure Resorts Ltd.,"Hotel, Resort & Restaurants",220.00,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,200.10,220.00,139.00,836.85
Western India Industries Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
WEP Solutions Ltd.,IT Services & Consulting,51.51,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,51.51,51.51,16.35,51.51
Zenotech Laboratories Ltd.,Pharmaceuticals & Drugs,75.10,"Strong Momentum: Price above short, medium and long term moving averages",Degrowth in Revenue and Profit,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,74.50,76.45,45.00,81.00
West Coast Brewers & Distillers Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Welworth Electric Company Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
Zaggle Prepaid Ocean Services Ltd.,IT Services & Consulting,225.15,Growth in Net Profit with increasing Profit Margin (QoQ),MFs decreased their shareholding last quarter,Negative to Positive growth in Sales and Profit with Strong Price momentum ,No Threat for this stock,217.25,225.85,155.30,266.20
Zen Global Finance Ltd.,,,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,,,,
WEP Solutions - RE Ltd.,,3.50,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,3.46,5.68,2.60,10.00
Zuari Industries Ltd.,Fertilizers,273.40,"Strong Momentum: Price above short, medium and long term moving averages",Red Flag: High Interest Payments Compared to Earnings,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,265.45,279.00,104.00,279.00
Zyden Gentec Ltd.,Pharmaceuticals,0.87,No Strength for this stock,No weakness for this stock,No Opportunity for this stock,No Threat for this stock,0.87,0.95,0.68,1.35
Zenlabs Ethica Ltd.,Finance - Investment,66.46,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of shareholder funds - ROE declining in the last 2 years,Positive Breakout Second Resistance  ( LTP > R2) ,No Threat for this stock,65.00,70.00,31.30,75.95
Zodiac Ventures Ltd.,Finance - Investment,21.39,"Strong Momentum: Price above short, medium and long term moving averages",Negative Breakdown First Support (LTP < S1),RSI indicating price strength ,No Threat for this stock,20.62,22.43,12.55,43.20
Zomato Ltd.,Online Services,135.00,Stock passes majority of CANSLIM Investment criteria,Low Piotroski Score : Companies with weak financials,Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,134.75,136.95,44.35,141.50
Zydus Lifesciences Ltd.,Pharmaceuticals & Drugs,715.15,"Strong Momentum: Price above short, medium and long term moving averages",Decline in Net Profit with falling Profit Margin (QoQ),Brokers upgraded recommendation or target price in the past three months ,No Threat for this stock,702.80,725.95,421.30,727.50
Zuari Agro Chemicals Ltd.,Fertilizers,247.80,"Strong Momentum: Price above short, medium and long term moving averages",Inefficient use of capital to generate profits - RoCE declining in the last 2 years,Positive Breakout First Resistance ( LTP > R1) ,No Threat for this stock,236.10,254.10,116.00,254.10
